"n.bad"	"sd"	"n.peeks"	"final.impression.mad.mean"	"final.peek.prefer.best.mean"	"n"
"141"	3	5	70	1.07955838202615	1	1000
"142"	3	5	75	1.03207077990974	1	1000
"143"	3	5	80	1.0020647500743	1	1000
"144"	3	5	85	0.951117186048969	1	1000
"145"	3	5	90	0.976711591100042	1	1000
"146"	3	5	95	0.93631250714714	1	1000
"147"	3	5	100	0.897822505021053	1	1000
"148"	3	10	0	5	0.247	1000
"149"	3	10	5	7.85053477499619	0.553	1000
"150"	3	10	10	6.82407519040646	0.599	1000
"151"	3	10	15	4.96163252391795	0.737	1000
"152"	3	10	20	4.1910177096621	0.794	1000
"153"	3	10	25	3.78177528898174	0.846	1000
"154"	3	10	30	3.40535642923745	0.874	1000
"155"	3	10	35	3.08870193698251	0.914	1000
"156"	3	10	40	2.94072482705892	0.934	1000
"157"	3	10	45	2.78588754729687	0.948	1000
"158"	3	10	50	2.60673458912438	0.955	1000
"159"	3	10	55	2.49350299174781	0.966	1000
"160"	3	10	60	2.33312523833901	0.985	1000
"161"	3	10	65	2.29139974398192	0.977	1000
"162"	3	10	70	2.16326174211639	0.989	1000
"163"	3	10	75	2.10546626735609	0.987	1000
"164"	3	10	80	2.03466838421034	0.99	1000
"165"	3	10	85	1.97107376253691	0.995	1000
"166"	3	10	90	1.8910627531424	0.999	1000
"167"	3	10	95	1.84789738260831	0.994	1000
"168"	3	10	100	1.82820509539545	0.998	1000
"169"	3	60	0	5	0.259	1000
"170"	3	60	5	46.8308575344812	0.296	1000
"171"	3	60	10	41.9696881842249	0.296	1000
"172"	3	60	15	30.4133093719405	0.324	1000
"173"	3	60	20	25.9614911508148	0.351	1000
"174"	3	60	25	21.9847228699731	0.341	1000
"175"	3	60	30	20.4098273230956	0.37	1000
"176"	3	60	35	18.6233044787675	0.358	1000
"177"	3	60	40	17.5230431116149	0.369	1000
"178"	3	60	45	16.5198655579835	0.375	1000
"179"	3	60	50	15.2581943330797	0.405	1000
"180"	3	60	55	14.780056001562	0.393	1000
"181"	3	60	60	14.1325446115487	0.417	1000
"182"	3	60	65	13.8853046180475	0.4	1000
"183"	3	60	70	12.8574857674668	0.426	1000
"184"	3	60	75	12.3216895810914	0.444	1000
"185"	3	60	80	11.9744725801628	0.491	1000
"186"	3	60	85	11.6532763517895	0.461	1000
"187"	3	60	90	11.4319488693311	0.457	1000
"188"	3	60	95	10.7837956793828	0.484	1000
"189"	3	60	100	10.9034202934622	0.455	1000
"190"	4	5	0	5	0.202	1000
"191"	4	5	5	4.00405420480186	0.783	1000
"192"	4	5	10	4.00451692753114	0.801	1000
"193"	4	5	15	2.87098206318582	0.92	1000
