"trial.c"	"condition.mode"	"condition.difficulty"	"condition.stability"	"total.mean"	"total.median"	"peek.mean"	"outcome.mean"	"outcome.median"	"optionswitch.mean"	"modeswitch.mean"
"87"	11	"peek"	"hard"	"dynamic"	-17.8947368421053	-18.5	0.605263157894737	2.02631578947368	18	0.605263157894737	0.394736842105263
"88"	11	"peek"	"hard"	"stable"	-33.5365853658537	-20	0.585365853658537	-0.341463414634146	-8	0.682926829268293	0.292682926829268
"89"	12	"keep"	"easy"	"dynamic"	7	15	1	5.65116279069767	-8	0.488372093023256	0
"90"	12	"keep"	"easy"	"stable"	15.8095238095238	14.5	1	8.40476190476191	21.5	0.428571428571429	0
"91"	12	"keep"	"hard"	"dynamic"	-71.037037037037	-65	1	6.44444444444444	23	0.481481481481481	0
"92"	12	"keep"	"hard"	"stable"	-67	-74.5	1	6.26315789473684	23	0.552631578947368	0
"93"	12	"peek"	"easy"	"dynamic"	11.8648648648649	4	0.783783783783784	0.675675675675676	-8	0.540540540540541	0.378378378378378
"94"	12	"peek"	"easy"	"stable"	1.60526315789474	2.5	0.526315789473684	8.8421052631579	29	0.526315789473684	0.421052631578947
"95"	12	"peek"	"hard"	"dynamic"	-10.4473684210526	-0.5	0.657894736842105	2.15789473684211	23	0.447368421052632	0.315789473684211
"96"	12	"peek"	"hard"	"stable"	-25.0243902439024	-5	0.658536585365854	11.4878048780488	23	0.536585365853659	0.317073170731707
"97"	13	"keep"	"easy"	"dynamic"	2.41860465116279	18	1	-4.58139534883721	-4	0.558139534883721	0
"98"	13	"keep"	"easy"	"stable"	12.7857142857143	12	1	-3.02380952380952	-4	0.595238095238095	0
"99"	13	"keep"	"hard"	"dynamic"	-42.1379310344828	-40	1	23.8620689655172	31	0.379310344827586	0
"100"	13	"keep"	"hard"	"stable"	-38.1842105263158	-47.5	1	28.8157894736842	31	0.368421052631579	0
"101"	13	"peek"	"easy"	"dynamic"	8.54054054054054	1	0.648648648648649	-6.67567567567568	-4	0.72972972972973	0.405405405405405
"102"	13	"peek"	"easy"	"stable"	0.763157894736842	2.5	0.5	-4.94736842105263	-4	0.605263157894737	0.342105263157895
"103"	13	"peek"	"hard"	"dynamic"	3.81578947368421	12	0.657894736842105	21.7894736842105	27.5	0.394736842105263	0.210526315789474
"104"	13	"peek"	"hard"	"stable"	-6.36585365853659	13	0.707317073170732	23.7317073170732	31	0.439024390243902	0.341463414634146
