"workerid"	"condition.mode"	"condition.difficulty"	"condition.stability"	"n.peeks"	"p.peeks"	"total.points"	"duration"	"sex"	"age"	"barratt.all"	"max.nen.all"	"reg.sch.all"	"total.points.fh"	"total.points.sh"
"150"	"A37QZIPI5JW6Q9"	"keep"	"easy"	"stable"	0	0	590	798	"male"	32	57	23	15	213	377
"151"	"A37S96RT1P1IT2"	"keep"	"hard"	"dynamic"	0	0	33	700	"female"	32	NA	31	21	-30	63
"152"	"A382OV019QLW6H"	"keep"	"easy"	"dynamic"	0	0	-122	573	"male"	48	40	24	26	378	-500
"153"	"A38A3MULFDOZ69"	"keep"	"easy"	"dynamic"	0	0	59	564	"male"	23	60	27	NA	83	-24
"154"	"A38HODAQUKJKKS"	"peek"	"easy"	"dynamic"	106	0.53	219	939	"male"	33	NA	40	30	187	32
"155"	"A38PKJM1ZRMDT8"	"keep"	"easy"	"dynamic"	0	0	37	241	"male"	34	71	24	23	116	-79
"156"	"A38ZV8LBZ034IZ"	"peek"	"easy"	"stable"	15	0.075	336	1826	"male"	52	53	12	8	95	241
"157"	"A390GZR4Y99EP9"	"peek"	"easy"	"stable"	160	0.8	51	2377	"female"	27	54	16	20	42	9
"158"	"A39RGARQZH9C9J"	"keep"	"easy"	"dynamic"	0	0	-300	1300	"female"	50	58	33	28	-173	-127
"159"	"A39X6XZ7O4NVS8"	"keep"	"hard"	"stable"	0	0	546	1661	"male"	36	55	26	27	156	390
"160"	"A3AQNFDYO5GQ4S"	"peek"	"hard"	"dynamic"	22	0.11	-126	960	"male"	35	71	23	17	-176	50
"161"	"A3B1TMUY2L187E"	"keep"	"easy"	"stable"	0	0	84	1326	"female"	26	72	36	35	66	18
"162"	"A3BUX2X4NAIB3K"	"keep"	"easy"	"dynamic"	0	0	63	559	"female"	23	78	21	25	164	-101
"163"	"A3CP90T5BS4AIB"	"keep"	"hard"	"dynamic"	0	0	-102	1406	"female"	57	47	30	24	-36	-66
"164"	"A3F0NFNLOLFJT0"	"keep"	"hard"	"stable"	0	0	503	845	"male"	32	46	29	30	244	259
"165"	"A3F6SDO4GYBE4Y"	"peek"	"easy"	"dynamic"	5	0.025	651	875	"female"	36	72	11	31	394	257
"166"	"A3FW9NWR6TJ4M9"	"peek"	"easy"	"dynamic"	112	0.56	-59	934	"female"	39	58	25	22	49	-108
"167"	"A3GQ6KDIZWCMW6"	"keep"	"hard"	"dynamic"	0	0	256	614	"male"	40	36	29	24	238	18
"168"	"A3HEFMJ50IMTY6"	"peek"	"hard"	"stable"	31	0.155	-360	835	"female"	30	NA	31	27	-125	-235
"169"	"A3ICWVGCEDRXS0"	"keep"	"easy"	"dynamic"	0	0	589	628	"male"	36	76	32	30	408	181
"170"	"A3IMND1XWD1O98"	"keep"	"easy"	"dynamic"	0	0	72	706	"male"	30	42	20	14	77	-5
"171"	"A3JIPIR860JFU5"	"peek"	"hard"	"stable"	85	0.425	-119	1846	"female"	29	63	40	26	187	-306
