"n.trials"	"n.peeks"	"action.strategy"	"peek.select.strategy"	"keep.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"total.points"	"final.impression.mad"	"final.prefer.best"	"n.keep.best"	"n.peek.best"	"p.select.best"	"total.peeks"
"2122"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	102	-81.613956182882	2.02049977909303	1	17	49	0.66	81
"2143"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	103	4.50838270978319	2.38556211956712	1	49	8	0.57	33
"2164"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	104	743.385181937816	5.87885044879082	1	70	1	0.71	15
"2185"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	105	-115.011661842619	5.84832095436272	0	0	6	0.06	71
"2206"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	106	456.751225456717	5.71174629689583	1	69	6	0.75	29
"2227"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	107	322.30428071402	2.41361270489275	1	65	1	0.66	30
"2248"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	108	155.641383083666	5.52867569006183	1	55	6	0.61	31
"2269"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	109	-139.495379630768	6.2339712163328	0	0	8	0.08	87
"2290"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	110	205.641397916793	3.64334225235739	1	71	1	0.72	22
"2311"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	111	-107.541237263094	5.05422140447946	0	3	7	0.1	85
"2332"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	112	309.544559188364	4.3531744878055	1	61	1	0.62	23
"2353"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	113	-70.2993899676534	5.65684229760922	0	0	3	0.03	84
"2374"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	114	552.820491926254	3.99102375801696	1	76	5	0.81	22
"2395"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	115	360.559529617625	1.56893348254599	1	70	1	0.71	18
"2416"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	116	266.160914301283	7.49506444675642	1	78	1	0.79	11
"2437"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	117	-164.063150109106	4.48397098124402	0	2	6	0.08	69
"2458"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	118	-77.7226922314536	9.6962006338863	0	0	20	0.2	96
"2479"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	119	-214.274434806468	4.05762562418324	0	6	6	0.12	73
"2500"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	120	715.718500464061	7.00647350402042	1	77	1	0.78	19
"2521"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	121	470.968044987343	4.66206816700334	1	66	10	0.76	34
"2542"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	122	86.7183698001959	2.51309026917592	1	66	4	0.7	23
"2563"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	123	165.404685388771	4.51330419134383	1	52	3	0.55	24
"2584"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	124	249.931726563055	8.65869775915625	1	81	1	0.82	14
"2605"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	125	465.027316386194	2.31047963085001	1	68	2	0.7	29
"2626"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	126	-165.191918780194	6.17432831403904	0	3	7	0.1	80
"2647"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	127	342.869122380301	3.16331259113136	1	80	1	0.81	20
"2668"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	128	106.076792642246	1.85990715715913	1	46	2	0.48	22
"2689"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	129	543.655537150748	4.09326289581689	1	63	1	0.64	18
"2710"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	130	662.673634916802	7.0237833414546	1	81	1	0.82	8
"2731"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	131	138.807627022184	1.84187833979819	1	43	7	0.5	23
"2752"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	132	391.694378202616	4.07023032245562	1	74	3	0.77	22
"2773"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	133	-196.946719444187	3.06437555144631	1	9	29	0.38	59
"2794"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	134	401.913158778981	3.66974087341546	1	66	3	0.69	22
"2815"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	135	333.898550719657	4.79060364940621	1	61	2	0.63	22
"2836"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	136	-77.1037527121776	4.89784676783968	1	71	9	0.8	27
"2857"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	137	422.647299126653	4.39001002117439	1	72	1	0.73	22
"2878"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	138	588.045208111226	7.18109625234788	1	41	2	0.43	10
"2899"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	139	297.073771175243	4.19687149093174	1	64	3	0.67	29
"2920"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	140	472.762217033735	5.31817955504298	1	76	2	0.78	17
"2941"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	141	-14.9356163169756	3.08400930294509	0	20	5	0.25	43
"2962"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	142	-291.202423352891	2.6471012055374	1	43	26	0.69	43
"2983"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	143	262.488380194498	2.97346674727815	1	65	1	0.66	27
"3004"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	144	391.347896240907	2.25499336061599	1	76	1	0.77	22
"3025"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	145	21.8110712258444	5.90975931938029	1	50	11	0.61	35
"3046"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	146	-104.757666900781	5.44337004451424	0	1	8	0.09	95
"3067"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	147	-276.959563403509	5.30199477424109	0	1	6	0.07	39
"3088"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	148	76.2714753138787	4.60725073125602	1	13	13	0.26	78
"3109"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	149	80.5271026606807	2.55092072405379	1	54	4	0.58	24
"3130"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	150	126.42773175969	5.67979936091773	1	48	2	0.5	18
"3151"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	151	-3.73736955615055	2.91204564148964	1	30	11	0.41	39
"3172"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	152	468.422080668905	3.04374096142594	1	74	1	0.75	23
"3193"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	153	-189.257482886242	7.19705505952496	1	30	14	0.44	54
"3214"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	154	178.278820162858	4.98232901063086	1	43	5	0.48	37
"3235"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	155	577.785124658429	7.04345484873492	1	79	2	0.81	17
"3256"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	156	325.244303499173	2.92336434916006	1	67	1	0.68	18
"3277"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	157	178.081137066644	3.77911473059287	1	83	1	0.84	16
"3298"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	158	-55.6542760408201	4.7872729065431	1	64	1	0.65	20
"3319"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	159	290.325721588104	4.42349451661386	1	72	1	0.73	25
"3340"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	160	-118.959351056399	9.65541192143657	0	6	9	0.15	81
"3361"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	161	-52.0493763311585	7.55552498608879	0	0	6	0.06	94
"3382"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	162	368.12288811449	4.29394246078566	1	54	3	0.57	19
"3403"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	163	316.763136435503	6.3478678327449	1	79	2	0.81	15
"3424"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	164	151.225677685592	3.16860931778779	1	64	5	0.69	29
"3445"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	165	-76.889298093661	7.32867209707644	1	36	8	0.44	44
"3466"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	166	608.940382092012	9.8392029975847	1	81	1	0.82	17
"3487"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	167	-94.2929943487021	4.58572842828169	0	0	3	0.03	84
"3508"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	168	537.465078143792	2.72284394378111	1	50	6	0.56	36
"3529"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	169	373.905804922842	8.1640300250464	1	80	1	0.81	19
"3550"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	170	498.600234897107	2.27563139858522	1	65	3	0.68	26
"3571"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	171	500.121981084698	8.15819886684555	1	76	1	0.77	17
"3592"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	172	550.296227683512	3.48148256691793	1	75	4	0.79	25
"3613"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	173	236.332653619202	4.10313736334316	1	42	4	0.46	32
"3634"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	174	74.0081661652843	1.43786727886131	1	47	3	0.5	44
"3655"	100	0	"expectation"	"uniform"	"egreedy-.20"	"mean"	5	-5	1	3	20	175	47.4137612487353	6.26806534853017	1	59	2	0.61	19
