"n.peeks"	"peek.select.strategy"	"update.method"	"good.mean"	"bad.mean"	"n.good"	"n.bad"	"sd"	"sim"	"final.impression.mad"	"final.peek.prefer.best"
"172"	15	"uniform"	"mean"	5	-5	1	1	5	9	3.78561594240473	1
"173"	20	"uniform"	"mean"	5	-5	1	1	5	9	1.64093024662851	1
"174"	25	"uniform"	"mean"	5	-5	1	1	5	9	1.93893281790776	1
"175"	30	"uniform"	"mean"	5	-5	1	1	5	9	1.42668223184391	1
"176"	35	"uniform"	"mean"	5	-5	1	1	5	9	2.12755986032374	1
"177"	40	"uniform"	"mean"	5	-5	1	1	5	9	0.498022505608292	1
"178"	45	"uniform"	"mean"	5	-5	1	1	5	9	0.902277516054743	1
"179"	50	"uniform"	"mean"	5	-5	1	1	5	9	1.02397528533699	1
"180"	55	"uniform"	"mean"	5	-5	1	1	5	9	0.815600574036178	1
"181"	60	"uniform"	"mean"	5	-5	1	1	5	9	0.290627747641461	1
"182"	65	"uniform"	"mean"	5	-5	1	1	5	9	0.279552588652797	1
"183"	70	"uniform"	"mean"	5	-5	1	1	5	9	0.564446655298671	1
"184"	75	"uniform"	"mean"	5	-5	1	1	5	9	0.132452292249538	1
"185"	80	"uniform"	"mean"	5	-5	1	1	5	9	0.347924402534176	1
"186"	85	"uniform"	"mean"	5	-5	1	1	5	9	1.33380134004488	1
"187"	90	"uniform"	"mean"	5	-5	1	1	5	9	0.639768777192968	1
"188"	95	"uniform"	"mean"	5	-5	1	1	5	9	0.642617008498949	1
"189"	100	"uniform"	"mean"	5	-5	1	1	5	9	1.07755110929288	1
"190"	0	"uniform"	"mean"	5	-5	1	1	5	10	5	1
"191"	5	"uniform"	"mean"	5	-5	1	1	5	10	3.2957336729339	1
"192"	10	"uniform"	"mean"	5	-5	1	1	5	10	1.3236055319209	1
"193"	15	"uniform"	"mean"	5	-5	1	1	5	10	2.4263568012284	1
"194"	20	"uniform"	"mean"	5	-5	1	1	5	10	1.06219096049525	1
"195"	25	"uniform"	"mean"	5	-5	1	1	5	10	1.36600244654489	1
"196"	30	"uniform"	"mean"	5	-5	1	1	5	10	0.323012615060474	1
"197"	35	"uniform"	"mean"	5	-5	1	1	5	10	1.90804829797411	1
"198"	40	"uniform"	"mean"	5	-5	1	1	5	10	0.602742038547124	1
"199"	45	"uniform"	"mean"	5	-5	1	1	5	10	1.44772976427574	1
"200"	50	"uniform"	"mean"	5	-5	1	1	5	10	0.634314627911909	1
"201"	55	"uniform"	"mean"	5	-5	1	1	5	10	0.913229449267864	1
"202"	60	"uniform"	"mean"	5	-5	1	1	5	10	0.467571298845892	1
"203"	65	"uniform"	"mean"	5	-5	1	1	5	10	1.99155253527975	1
"204"	70	"uniform"	"mean"	5	-5	1	1	5	10	0.538033396684287	1
"205"	75	"uniform"	"mean"	5	-5	1	1	5	10	2.17932512901458	1
"206"	80	"uniform"	"mean"	5	-5	1	1	5	10	0.232360079797313	1
"207"	85	"uniform"	"mean"	5	-5	1	1	5	10	0.632709643807707	1
"208"	90	"uniform"	"mean"	5	-5	1	1	5	10	0.415069600216371	1
"209"	95	"uniform"	"mean"	5	-5	1	1	5	10	0.914414289057102	1
"210"	100	"uniform"	"mean"	5	-5	1	1	5	10	0.0923745433299685	1
"211"	0	"uniform"	"mean"	5	-5	1	1	5	11	5	1
"212"	5	"uniform"	"mean"	5	-5	1	1	5	11	3.62063787966439	1
"213"	10	"uniform"	"mean"	5	-5	1	1	5	11	2.76660571842947	1
"214"	15	"uniform"	"mean"	5	-5	1	1	5	11	1.027149584414	1
"215"	20	"uniform"	"mean"	5	-5	1	1	5	11	1.05142974996792	1
"216"	25	"uniform"	"mean"	5	-5	1	1	5	11	0.961923562871953	1
"217"	30	"uniform"	"mean"	5	-5	1	1	5	11	1.68379139280366	1
"218"	35	"uniform"	"mean"	5	-5	1	1	5	11	1.87722504662328	1
"219"	40	"uniform"	"mean"	5	-5	1	1	5	11	1.43062640557752	1
"220"	45	"uniform"	"mean"	5	-5	1	1	5	11	1.67029939883127	1
"221"	50	"uniform"	"mean"	5	-5	1	1	5	11	1.32095085050231	1
"222"	55	"uniform"	"mean"	5	-5	1	1	5	11	1.05766136097989	1
"223"	60	"uniform"	"mean"	5	-5	1	1	5	11	0.122196214400043	1
"224"	65	"uniform"	"mean"	5	-5	1	1	5	11	1.44195487632458	1
"225"	70	"uniform"	"mean"	5	-5	1	1	5	11	1.19014167686435	1
"226"	75	"uniform"	"mean"	5	-5	1	1	5	11	0.871317470454965	1
"227"	80	"uniform"	"mean"	5	-5	1	1	5	11	1.39836561966176	1
"228"	85	"uniform"	"mean"	5	-5	1	1	5	11	0.902119126315733	1
"229"	90	"uniform"	"mean"	5	-5	1	1	5	11	1.09755965334176	1
"230"	95	"uniform"	"mean"	5	-5	1	1	5	11	1.18340506847634	1
"231"	100	"uniform"	"mean"	5	-5	1	1	5	11	0.714572695681417	1
"232"	0	"uniform"	"mean"	5	-5	1	1	5	12	5	1
"233"	5	"uniform"	"mean"	5	-5	1	1	5	12	3.81081919111356	1
"234"	10	"uniform"	"mean"	5	-5	1	1	5	12	1.07314573725973	1
"235"	15	"uniform"	"mean"	5	-5	1	1	5	12	1.00199826969663	1
"236"	20	"uniform"	"mean"	5	-5	1	1	5	12	1.84006252545692	1
"237"	25	"uniform"	"mean"	5	-5	1	1	5	12	2.66246564970491	1
"238"	30	"uniform"	"mean"	5	-5	1	1	5	12	0.308273267810446	1
"239"	35	"uniform"	"mean"	5	-5	1	1	5	12	1.123017047076	1
"240"	40	"uniform"	"mean"	5	-5	1	1	5	12	1.80538427447832	1
"241"	45	"uniform"	"mean"	5	-5	1	1	5	12	1.27201029481221	1
"242"	50	"uniform"	"mean"	5	-5	1	1	5	12	1.45256659259217	1
"243"	55	"uniform"	"mean"	5	-5	1	1	5	12	0.460357985161164	1
"244"	60	"uniform"	"mean"	5	-5	1	1	5	12	0.727016069938566	1
"245"	65	"uniform"	"mean"	5	-5	1	1	5	12	0.895425987501573	1
"246"	70	"uniform"	"mean"	5	-5	1	1	5	12	0.413330219333962	1
"247"	75	"uniform"	"mean"	5	-5	1	1	5	12	0.0739476989443069	1
"248"	80	"uniform"	"mean"	5	-5	1	1	5	12	0.801412507189226	1
"249"	85	"uniform"	"mean"	5	-5	1	1	5	12	0.31404295830695	1
